ID_1,Date de l'enquête,Mode d'enquête,Comment se porte votre entreprise ou business actuellement ?,L’entreprise vous permet -elle de gagner assez d’argent pour subvenir à vos besoins et à celle de votre famille ?,Avez-vous déjà planifié de migrer de nouveau ?,Si vous n’aviez pas bénéficié de l’aide de l’OIM pour votre réintégration économique quelle serait votre situation actuelle ?,Pensez-vous que le retour a été une bonne décision ?,Êtes-vous satisfait de l’aide à la réintégration de manière globale ?,Pays,Pays d’où le migrant est de retour :,Sexe,Age (l'enquête est destinée aux personnes agées de 14 ans et plus),Durée de l’absence du pays d’origine   Mettre 0 si moins d'un an,Situation de handicap,Par quel moyen avez-vous reçu cette assistance économique ?,Type de business bis,Qui sont les membres de cette entreprise ?,L'OIM   ou un de ses partenaires vous a-t-elle formé sur la façon de gérer une entreprise ?,L’entreprise emploie-t-elle du personnel ?,"Si oui, combien des personnes sont employées par votre entreprise ?",Est-ce votre entreprise a été affectée par la maladie de Coronavirus ?,Est-ce que le type d'assistance économique que vous avez reçu correspondait à votre premier choix ?,Niveau microbusiness,Type de formation,Duree formation,ArrivalDate_Mimosa,Date de reception de la reintegration,Gender_Mimosa,AgeAtReferral_Mimosa
NA,2021-04-17,Sur le terrain (lieu de travail ou d’habitation du migrant…),Actuellement ouvert et les activités marchent difficilement,Partiellement,Oui régulièrement,Pire,Oui,Satisfait,Ghana,Lybie,Masculin,36-65 ans,4,Non,En nature,Coiffure,Moi uniquement,Non,Oui,1,Oui Négativement,Oui,NA,NA,NA,NA,NA,NA,NA
NA,2021-05-28,Sur le terrain (lieu de travail ou d’habitation du migrant…),Actuellement ouvert et les activités marchent difficilement,Partiellement,Oui régulièrement,Pire,Non,Satisfait,Côte D'Ivoire,Niger,Masculin,18-35 ans,1,Non,En espèces,Commerce,Moi avec des migrants de retour et des membres d’une communauté,Non,Oui,1,Non,Oui,NA,NA,NA,NA,NA,NA,NA
NA,2021-06-09,Sur le terrain (lieu de travail ou d’habitation du migrant…),Actuellement ouvert et les activités marchent bien,Oui,Non,Pire,Oui,Très satisfait,Ghana,Niger,Masculin,36-65 ans,0,Non,En nature,Aviculture,Moi uniquement,Oui,Non,NA,Non,Oui,NA,NA,NA,NA,NA,NA,NA
NA,2021-06-08,Par téléphone,NA,NA,Non,Pire,Oui,Très satisfait,Côte D'Ivoire,Lybie,Masculin,14-17 ans,0,Non,En espèces,NA,NA,NA,NA,NA,NA,Oui,NA,NA,NA,NA,NA,NA,NA
NA,2021-06-09,Par téléphone,Actuellement ouvert et les activités marchent difficilement,Non,Non,Pire,Oui,Très satisfait,Côte D'Ivoire,Tunisie,Masculin,36-65 ans,3,Non,En espèces,Coiffure,Moi uniquement,Non,Oui,1,Non,Oui,NA,NA,NA,NA,NA,NA,NA
NA,2021-06-09,Par téléphone,Actuellement ouvert et les activités marchent bien,Partiellement,Non,Pire,Oui,Très satisfait,Côte D'Ivoire,Lybie,Masculin,36-65 ans,2,Non,En espèces,Commerce,Moi uniquement,Non,Non,NA,Non,Oui,NA,NA,NA,NA,NA,NA,NA
NA,2021-06-09,Par téléphone,NA,NA,Non,Pire,Oui,Très satisfait,Côte D'Ivoire,Niger,Masculin,18-35 ans,0,Non,En espèces,NA,NA,NA,NA,NA,NA,Oui,NA,NA,NA,NA,NA,NA,NA
NA,2021-06-15,Sur le terrain (lieu de travail ou d’habitation du migrant…),Actuellement ouvert et les activités marchent difficilement,Oui,Non,Pire,Oui,Satisfait,Ghana,Burkina Faso,Masculin,18-35 ans,3,Non,En nature,Commerce,Moi uniquement,Non,Non,NA,Oui Négativement,Non,NA,NA,NA,NA,NA,NA,NA
NA,2021-06-15,Par téléphone,Actuellement ouvert et les activités marchent bien,Oui,Non,Pire,Oui,Très satisfait,Ghana,Lybie,Masculin,18-35 ans,3,Non,En nature,Elevage,Moi uniquement,Non,Non,NA,Oui Négativement,Oui,NA,NA,NA,NA,NA,NA,NA
NA,2021-06-21,Par téléphone,Actuellement ouvert et les activités marchent bien,Oui,Non,Pire,Oui,Très satisfait,Ghana,Lybie,Masculin,18-35 ans,0,Non,En nature,Commerce,Moi avec des migrants de retour,Non,Non,NA,Oui Négativement,Oui,NA,NA,NA,NA,NA,NA,NA
NA,2021-06-21,Par téléphone,Actuellement ouvert et les activités marchent bien,Oui,Non,Pire,Oui,Très satisfait,Ghana,Lybie,Masculin,18-35 ans,1,Non,En nature,Commerce,Moi avec des migrants de retour,Non,Non,NA,Oui Négativement,Oui,NA,NA,NA,NA,NA,NA,NA
NA,2021-06-17,Par téléphone,Actuellement ouvert et les activités marchent bien,Oui,Non,Mieux,Oui,Satisfait,Ghana,Lybie,Masculin,18-35 ans,4,Non,En nature,Elevage,Moi uniquement,Non,Non,NA,Oui Négativement,Oui,NA,NA,NA,NA,NA,NA,NA
NA,2021-07-22,Sur le terrain (lieu de travail ou d’habitation du migrant…),Mon entreprise n’est pas encore ouverte,Partiellement,Non,Pire,Oui,Très satisfait,Burkina Faso,Algerie,Masculin,18-35 ans,0,Non,Mixte,Elevage,Moi uniquement,Non,Non,NA,Non,Oui,NA,NA,NA,NA,NA,NA,NA
NA,2021-09-06,Par téléphone,Actuellement ouvert et les activités marchent difficilement,Non,Non,Pire,Souhaite ne pas répondre,OK,Sierra-Leone,Niger,Masculin,18-35 ans,1,Non,En nature,Commerce,Moi uniquement,Oui,Non,NA,Oui Négativement,Oui,NA,NA,NA,NA,NA,NA,NA
NA,2021-08-12,Sur le terrain (lieu de travail ou d’habitation du migrant…),Actuellement ouvert et les activités marchent difficilement,Oui,Non,Pire,Oui,Satisfait,Burkina Faso,Niger,Masculin,18-35 ans,NA,Non,Mixte,Restauration,Moi uniquement,Non,Non,NA,Non,Non,NA,NA,NA,NA,NA,NA,NA
NA,2021-09-01,Par téléphone,Fermée,Non,Souhaite ne pas répondre,Pire,Souhaite ne pas répondre,OK,Sierra-Leone,Niger,Masculin,18-35 ans,1,Non,En nature,Coiffure,Moi uniquement,Oui,Non,NA,Oui Négativement,Oui,NA,NA,NA,NA,NA,NA,NA
NA,2021-09-01,Par téléphone,Actuellement ouvert et les activités marchent bien,Partiellement,Oui irrégulièrement,Pire,Ne sait pas,OK,Sierra-Leone,Niger,Masculin,18-35 ans,1,Non,En nature,Autre,Moi uniquement,Oui,Non,NA,Oui Négativement,Oui,NA,NA,NA,NA,NA,NA,NA
NA,2021-09-06,Par téléphone,Fermée,Non,Souhaite ne pas répondre,Pire,Souhaite ne pas répondre,OK,Sierra-Leone,Niger,Masculin,18-35 ans,1,Non,En nature,Couture,Moi uniquement,Oui,Non,NA,Oui Négativement,Oui,NA,NA,NA,NA,NA,NA,NA
MA1019001234,2021-09-22,Par téléphone,Actuellement ouvert et les activités marchent bien,Partiellement,Non,Pire,Oui,Très satisfait,Sénégal,Maroc,Masculin,18-35 ans,5,Non,En nature,Transport (Moto - Auto et autres),Moi uniquement,Oui,Oui,2,Oui Positivement,Non,Collective,NA,TRUE,2019-02-20T00:00:00Z,2022-03-28T00:00:00Z,Male,26
MA1019001234,2021-09-22,Par téléphone,Actuellement ouvert et les activités marchent bien,Partiellement,Non,Pire,Oui,Très satisfait,Sénégal,Maroc,Masculin,18-35 ans,5,Non,En nature,Transport (Moto - Auto et autres),Moi uniquement,Oui,Oui,2,Oui Positivement,Non,Collective,NA,TRUE,2019-02-20T00:00:00Z,2022-03-28T00:00:00Z,Female,21
NA,2021-09-24,Par téléphone,Actuellement ouvert et les activités marchent difficilement,Partiellement,Non,Pire,Oui,Très satisfait,Sénégal,Algerie,Masculin,36-65 ans,2,Non,En nature,Commerce,Moi uniquement,Oui,Non,NA,Oui Négativement,Oui,NA,NA,NA,NA,NA,NA,NA
NA,2021-09-28,Par téléphone,Fermée,Oui,Non,Pire,Oui,Très satisfait,Sénégal,Lybie,Masculin,18-35 ans,1,Non,En nature,Transport (Moto - Auto et autres),Moi uniquement,Oui,Non,NA,Oui Négativement,Non,NA,NA,NA,NA,NA,NA,NA
NA,2021-09-30,Par téléphone,Actuellement ouvert et les activités marchent bien,Partiellement,Non,Pire,Oui,Très satisfait,Sénégal,Maroc,Masculin,18-35 ans,2,Non,En nature,Couture,Moi uniquement,Non,Non,NA,Non,Oui,NA,NA,NA,NA,NA,NA,NA
NA,2021-09-30,Par téléphone,Actuellement ouvert et les activités marchent bien,Oui,Non,Pire,Oui,Très satisfait,Sénégal,Algerie,Masculin,36-65 ans,8,Non,En nature,Commerce,Moi uniquement,Non,Non,NA,Oui Négativement,Oui,NA,NA,NA,NA,NA,NA,NA
NA,2021-10-04,Par téléphone,Actuellement ouvert et les activités marchent bien,Oui,Non,Pire,Oui,Très satisfait,Sénégal,Maroc,Masculin,18-35 ans,0,Non,En nature,Commerce,Moi uniquement,Non,Non,NA,Oui Négativement,Oui,NA,NA,NA,NA,NA,NA,NA
NA,2021-10-04,Par téléphone,Actuellement ouvert et les activités marchent difficilement,Oui,Non,Pire,Non,Très satisfait,Sénégal,Maroc,Masculin,18-35 ans,0,Non,En nature,Autre,Moi uniquement,Oui,Non,NA,Oui Négativement,Oui,NA,NA,NA,NA,NA,NA,NA
NA,2021-10-06,Sur le terrain (lieu de travail ou d’habitation du migrant…),Actuellement ouvert et les activités marchent bien,Oui,Oui régulièrement,Pire,Oui,Très satisfait,Sénégal,Lybie,Masculin,36-65 ans,1,Non,En nature,Aviculture,Moi uniquement,Oui,Oui,1,Oui Négativement,Oui,NA,NA,NA,NA,NA,NA,NA
